,tweet,retweets
6218,Les #GiletsJaunes demandent du #PouvoirDAchat il leur répond en se mettant en scène dans le #GrandDébat qu’il tentera de clôturer par un nébuleux référendum QCM,19
1615,.@MLP_officiel : « Le mouvement des #GiletsJaunes est né d’un ras-le-bol fiscal. [...] La réponse du gouvernement ? La suppression de certaines niches fiscales... c’est à dire une augmentation des impôts ! » ,18
15100,V'là c dit ⤵️ ,18
11811,Ce retraité exprime la souffrance des #GiletsJaunes fasse aux promesses vaines de #Macron,18
11813,- 140.000 personnes dorment dehors,18
11814,- gel du plafond de ressources pour l'allocation handicapé,18
11815,C'est une urgence d'agir pour les Français ! ,18
19012,#ViolencesPolicieres,18
20276,⚡️AUTUN / Des #GiletsJaunes sont présents à #Autun pour la venue du président #Macron 🚁 au lycée militaire ,18
18467,#Flashball,18
11812,"- hausse de la CSG à 1,7%",18
18466,#JeromeRodrigues,18
15099,"Malgré le bashing permanent &amp; les éditos à charge contre les #Insoumis, le 1er parti de France proche des préoccupations des #GiletsJaunes est la @FranceInsoumise",18
18468,#LBD,18
15098,Vous avez compris le pourquoi du comment de la UNE haineuse de l'@lobs à l'encontre de @JLMelenchon ?,18
6320,"On teste un truc : on prend un journaliste vénézuélien, en France avec un visa de tourisme, on l’envoie un samedi de manifestation des #GiletsJaunes filmer l’Elysée sous plusieurs angles et continuant malgré les interventions de la police. ",18
1165,📺 #GILETSJAUNES ET UNION EUROPÉENNE,18
1166,"Un #Referendum le jour des #Europeennes2019 serait sans doute pour #Macron une façon de noyer le poisson, mais ne faisons pas comme si la situation de notre pays n'avait rien à voir avec la politique européenne ! #ServicesPublics #Austérité ",18
13473,"Grand Débat de #Béziers : le message d'une maman de cinq enfants, handicapée, au Président Macron. #GrandDebatBeziers #GiletsJaunes ",18
5975,Et on regarde ce qu’il se passe ,18
18464,#Resistance,18
18342,"J'ai trouvé une ""solution"" pour Eric Drouet : qu'il s'exile au Venezuela, avec Maxime Nicolle! #Giletsjaunes . Nous, on garde #Macron ! ",17
13631,#Giletsjaunes blessés : un étudiant interpelle #Castaner à la #Sorbonne lors d'un colloque (VIDEO),17
13698,64% des Français soutiennent les #GiletsJaunes et 77% jugent la mobilisation justifiée,17
3277,"📽️ Hallucinant, c'est les premiers effets de la Loi #anticasseurs de #DirectAN 🤔 ",17
12976,#LBD40 ,17
9508,"Depuis 3 mois le peuple à travers les #GiletsJaunes dénonce les augmentations successives, taxes et impôts qui ne font que croitre.",17
8606,"«Pourquoi une telle frilosité vis-à-vis d’une innovation sociale majeure : l’expérimentation d’un revenu de base, qui aurait être une réponse politique à la mobilisation des #GiletsJaunes sur le pouvoir d’achat ? Le #GrandDebat a lieu partout sauf ici au Parlement !» #DirectAN ",17
10272,Vous pensiez que #Macron avait compris et écouté la colère du peuple ?...,17
10273,@DLF_Officiel,17
6415,"Des Manifestants et des #GiletsJaunes parqués par les CRS, Rue de #Rivoli pendant 1h dans le froid sans aucune explication.  #GreveGenerale5fevrier  c'était dans #Paris",17
14262,"Le Président #Macron se déplace en Bourgogne pour y rencontrer notamment des jeunes et échanger avec eux. Visiblement, cela dérange les #GiletsJaunes qui se sont déplacés à #Autun pour y semer la pagaille : ""casser OUI, dialoguer NON"", telle est leur philosophie ! 👉 PITOYABLE ! ",17
12657,Maintenant il a peur des poursuites judiciaires. ,16
12654,"- il dégrade des bornes de péage,",16
12655,"- s'enfuit en voyant arriver la police,",16
13697,Oyez oyez tous les #LREM qui estiment que le mouvement n'a plus sa raison d'être. Vous êtes largement minoritaires les macronistes. On va vous virer dans pas longtemps,16
10692,"🗣 @jpmignard, avocat et proche d'@EmmanuelMacron :",16
4061,"#JeromeRodrigues ""prend du recul"". Après #JaclineMouraud, #IngridLevavasseur, #BenjaminCauchy qui ont subi des reproches, c'est le tour de ce proche d'#EricDrouet de s'éloigner des #GiletsJaunes. Parmi les raisons, le rapprochement avec l'#extremegauche? ",16
12653,Résumé:,16
6511,"#LoiAntiCasseurs: ⁦@BasileAder, vice-bâtonnier du #barreaudeParis, s'alarme sur ⁦@Europe1⁩ des dispositions de la loi ""anti-casseurs"" qui sont contraires au droit et compromettent la séparation des pouvoirs.",16
5559,"Le 17 novembre, des dizaines de milliers de #GiletsJaunes ont exprimé un ras le bol fiscal, une demande de justice sociale et de démocratie participative contre @EmmanuelMacron. Pas une 6ème République melenchoniste!",16
12280,Les #GiletsJaunes sont l'expression habillée en jaune d'un mouvement social beaucoup plus important et d'une crise sociale. On ne méprise pas une crise sociale....,16
10704,#Karma #GiletsJaunes ,16
7368,#RIC,16
941,#Punchline ,16
19747,#ViolencesPolicières ,16
19746,"#GiletsJaunes : des personnalités appellent Agnès #Buzyn à  lever le voile sur le nombre de victimes de ""l'épisode de répression le plus violent depuis 1968.""",16
940,"Il y a une différence entre les manifestants de la CGT et les #GiletsJaunes.
La CGT se mobilise la semaine alors que les Gilets Jaunes manifestent le samedi puisqu'ils travaillent le reste de la semaine. - @NicolasBay_",16
20650,- chute TOUT SEUL tête la première sur un bloc de béton.,16
944,Un peu d'humour !,16
945,"Extrait de la #video de Bertrand Usclat dans laquelle il nous résume en 35 secondes les revendications des #GiletsJaunes. C'est synthétique et clair à l'image des productions des #leaders des gilets jaunes, c'est à dire : disjoncté. ",16
16916,La Ligue des droits de l’homme dépose de nouveaux recours contre les #LBD au Conseil d’Etat  #giletsjaunes,16
2322,⁦@batonnierparis⁩ #GiletsJaunes ,16
8926,En présence de nombreux #GiletsJaunes ,15
5719,POURQUOI les ''banlieues pauvres'' n'ont pas rejoint les #GiletsJaunes ? Parce que les zones immigrées sont privilégiées socialement par l'assistanat : elles profitent au maximum du système archaïque égalitaire de la redistribution datant presque 80 ans.,15
7664,RDV à 14h sur la place du village ou dans la salle municipale. ,15
7663,Le maire @bacque64 accueillera avec plaisir les #giletsjaunes de Fontainebleau ce samedi 9 février en sa commune du #Vaudoué. ,15
1797,#Lyon : la police nationale  obligeant les manifestants à retirer leur gilet jaune pour circuler librement dans la manifestation #GreveGenerale5fevrier #GiletsJaunes  ,15
21060,#RICtoutesmatieres,15
16578,Merci @RTenfrancais et @AntoineRtfrance de m’avoir ouvert leurs colonnes au sujet de la Loi #anticasseurs #giletsjaunes ,15
8925,DIRECT - Rassemblement de soutien à #Mediapart devant les locaux de la rédaction près de 30H après la tentative de perquisition dans les locaux suite aux révélations sur l’affaire Benalla. @Mediapart @edwyplenel ,15
